기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,일반대학원,사립,충남,기존,선문대학교 대학원 ,158.0,170,95,74,1,0,144,76,68,0,0,91.1
2023.0,특수대학원,사립,충남,기존,선문대학교 미래융합대학원 ,124.0,99,30,69,0,0,83,23,60,0,0,66.9
2023.0,특수대학원,사립,경기,기존,성결대학교 교육대학원 ,40.0,48,7,41,0,0,20,5,15,0,0,50.0
2023.0,특수대학원,사립,경기,기존,성결대학교 사회복지대학원 ,30.0,31,11,20,0,0,27,10,17,0,0,90.0
2023.0,특수대학원,사립,경기,기존,성결대학교 신학대학원 ,100.0,49,24,25,0,0,43,22,21,0,0,43.0
2023.0,일반대학원,사립,경기,기존,성결대학교 일반대학원 ,27.0,41,8,9,7,17,41,8,9,7,17,63.0
2023.0,특수대학원,사립,경기,기존,성결대학교 프라임(Prime) 대학원 ,35.0,35,2,33,0,0,27,2,25,0,0,77.1
2023.0,특수대학원,사립,서울,기존,성공회대학교 교육대학원 ,40.0,22,6,16,0,0,20,5,15,0,0,50.0
2023.0,일반대학원,사립,서울,기존,성공회대학교 대학원 ,58.0,48,13,19,4,12,31,10,15,1,5,43.1
2023.0,특수대학원,사립,서울,기존,성공회대학교 문화대학원 ,19.0,16,7,9,0,0,14,6,8,0,0,73.7
2023.0,특수대학원,사립,서울,폐교,성공회대학교 사회적경제대학원 ,26.0,21,7,14,0,0,18,6,12,0,0,69.2
2023.0,특수대학원,사립,서울,기존,성공회대학교 시민사회복지대학원 ,32.0,30,5,25,0,0,23,5,18,0,0,71.9
2023.0,특수대학원,사립,서울,기존,성공회대학교 시민평화대학원 ,37.0,23,2,21,0,0,16,2,14,0,0,43.2
2023.0,특수대학원,사립,서울,기존,성공회대학교 신학대학원 ,17.0,13,5,8,0,0,11,5,6,0,0,64.7
2023.0,전문대학원,사립,서울,기존,성균관대학교 경영(전문)대학원 ,300.0,688,272,168,149,99,425,167,107,83,68,91.3
2023.0,특수대학원,사립,서울,기존,성균관대학교 경영대학원(iMBA) ,200.0,400,276,115,6,3,205,150,50,4,1,100.0
2023.0,특수대학원,사립,서울,기존,성균관대학교 교육대학원 ,82.0,157,39,118,0,0,68,20,48,0,0,82.9
2023.0,특수대학원,사립,서울,기존,성균관대학교 국가전략대학원 ,25.0,37,30,4,2,1,21,15,3,2,1,72.0
2023.0,전문대학원,사립,서울,기존,성균관대학교 국정전문대학원 ,69.0,137,67,49,11,10,90,37,33,10,10,101.4
2023.0,특수대학원,사립,서울,기존,성균관대학교 글로벌창업대학원 ,30.0,52,31,17,3,1,29,18,10,1,0,93.3
2023.0,전문대학원,사립,경기,기존,성균관대학교 기술경영전문대학원 ,49.0,112,84,28,0,0,47,36,11,0,0,95.9
2023.0,특수대학원,사립,서울,기존,성균관대학교 미디어문화융합대학원 ,70.0,162,43,91,1,27,75,24,48,0,3,102.9
2023.0,특수대학원,사립,서울,폐교,성균관대학교 번역・테솔(TESOL)대학원 ,30.0,41,6,31,0,4,19,5,12,0,2,56.7
